球員,背號,PA,AVG,OBP,SLG,ISO,BABIP,BIP%,OPS,OPS+,tOPS+,RC,wOBA,BB%,BB/K,K%,PutAway%
唐肇廷,6,75,.197,.293,.212,.015,.217,80.0%,.505,47.9,43.8,4.1,.247,12.0%,1.500,8.0%,21.4%
許哲晏,10,22,.222,.364,.278,.056,.267,68.2%,.641,87.9,82.7,1.7,.312,13.6%,1.000,13.6%,33.3%
陳傑憲,24,481,.315,.413,.397,.082,.343,75.6%,.810,135.8,129.8,65.6,.368,13.1%,1.465,8.9%,19.1%
胡金龍,51,232,.274,.312,.340,.065,.324,76.2%,.651,89.3,84.6,23.1,.291,5.6%,.325,17.2%,37.4%
林益全,99,311,.306,.357,.387,.081,.347,77.8%,.744,116.0,110.7,39.2,.332,6.8%,.500,13.5%,35.3%
陳鏞基,13,293,.336,.392,.458,.122,.382,74.6%,.850,146.4,140.5,46.0,.375,6.8%,.465,14.7%,30.9%
林岱安,31,171,.224,.272,.276,.051,.260,75.1%,.548,59.3,55.3,11.7,.250,5.8%,.345,17.0%,34.9%
邱智呈,14,258,.313,.386,.436,.123,.373,69.7%,.822,138.4,132.6,37.0,.367,8.5%,.489,17.4%,31.0%
林靖凱,64,381,.261,.299,.302,.040,.305,79.5%,.601,74.8,70.4,29.8,.273,2.9%,.200,14.4%,30.9%
陳重羽,65,256,.275,.339,.360,.086,.322,74.7%,.699,103.0,98.0,26.6,.316,7.4%,.500,14.8%,29.5%
林祖傑,39,156,.196,.265,.246,.051,.245,72.8%,.511,48.9,45.0,8.8,.239,7.7%,.429,17.9%,35.9%
陳重廷,66,262,.280,.323,.343,.063,.325,79.9%,.666,93.5,88.7,25.8,.300,4.6%,.343,13.4%,29.4%
蘇智傑,32,471,.300,.391,.447,.147,.325,71.8%,.838,143.0,137.1,69.7,.371,11.3%,.898,12.5%,30.6%
林子豪,2,286,.263,.360,.348,.085,.309,71.3%,.708,106.1,100.8,30.9,.323,12.2%,.833,14.7%,26.8%
李丞齡,9,72,.200,.264,.262,.062,.255,65.3%,.525,53.0,49.1,4.4,.242,6.9%,.278,25.0%,45.0%
何恆佑,7,47,.178,.196,.222,.044,.242,71.7%,.418,21.2,18.3,2.0,.187,2.1%,.083,25.5%,46.2%
田子杰,49,1,.000,.000,.000,.000,NaN,0.0%,.000,-100.0,-100.0,.0,.000,0.0%,.000,100.0%,100.0%
林安可,77,292,.247,.322,.471,.224,.258,65.1%,.793,128.7,123.6,38.2,.339,8.2%,.421,19.5%,39.3%
潘傑楷,35,182,.288,.383,.346,.059,.331,72.2%,.730,112.5,107.0,20.4,.338,13.2%,1.000,13.2%,28.2%
柯育民,36,33,.267,.313,.333,.067,.296,84.4%,.646,87.6,83.0,3.1,.292,6.1%,.667,9.1%,30.0%
黃勇傳,61,121,.234,.314,.262,.028,.281,73.6%,.576,68.2,63.7,8.5,.273,9.1%,.579,15.7%,30.6%
姚雨翔,67,10,.250,.300,.375,.125,.286,70.0%,.675,95.4,90.8,1.0,.287,10.0%,.500,20.0%,33.3%
張聖豪,46,2,.500,.500,.500,.000,.500,100.0%,1.000,190.9,183.5,.5,.450,0.0%,NaN,0.0%,NaN%
鄭鎧文,28,23,.158,.304,.158,.000,.231,56.5%,.462,36.3,32.2,.8,.244,13.0%,.500,26.1%,40.0%
羅暐捷,8,36,.121,.167,.182,.061,.190,58.3%,.348,1.3,-1.2,1.0,.158,5.6%,.154,36.1%,72.2%
郭阜林,5,71,.250,.282,.338,.088,.296,76.1%,.620,79.6,75.3,6.2,.275,2.8%,.154,18.3%,40.6%
江亮緯,27,9,.111,.111,.111,.000,.143,77.8%,.222,-35.4,-37.1,.1,.100,0.0%,.000,22.2%,66.7%
施冠宇,3,62,.236,.323,.327,.091,.295,71.0%,.650,89.0,84.3,5.6,.298,9.7%,.545,17.7%,40.7%
張偉聖,52,12,.200,.333,.200,.000,.286,58.3%,.533,56.8,52.2,.7,.270,16.7%,.667,25.0%,42.9%
林培緯,25,3,.000,.000,.000,.000,.000,66.7%,.000,-100.0,-100.0,.0,.000,0.0%,.000,33.3%,50.0%
張翔,4,1,.000,.000,.000,.000,.000,100.0%,.000,-100.0,-100.0,.0,.000,0.0%,NaN,0.0%,0.0%
楊竣翔,94,8,.286,.375,.286,.000,.333,75.0%,.661,93.4,88.1,.8,.315,12.5%,1.000,12.5%,50.0%
林佳緯,20,11,.111,.273,.222,.111,.143,63.6%,.495,44.6,40.7,.5,.244,18.2%,1.000,18.2%,28.6%
